   1    0    1  n      0.0      0.0  
  26   23   49 V    8682.908    0.017
  25   24   49 Cr   8613.291    0.046
  24   25   49 Mn   8439.929    0.046
  23   26   49 Fe   8161.311    0.494
  22   27   49 Co   7842       1000      10       1000   
  21   28   49 Ni   7457       1000      12       1000   
  33   17   50 Cl   7651       1000      12       1000   
  32   18   50 Ar   8056       1000      10       1000   
  31   19   50 K    8288.582    0.155
  30   20   50 Ca   8550.163    0.032
  29   21   50 Sc   8633.679    0.300
  28   22   50 Ti   8755.718    0.002
  27   23   50 V    8695.918    0.008
  26   24   50 Cr   8701.032    0.009
  25   25   50 Mn   8532.696    0.009
  24   26   50 Fe   8354.026    0.168
  23   27   50 Co   8001       1000       8       1000   
  22   28   50 Ni   7716       1000      10       1000   
  34   17   51 Cl   7530       1000      14       1000   
  33   18   51 Ar   7926       1000      12       1000   
  32   19   51 K    8221.349    0.256
  31   20   51 Ca   8476.913    0.010
  30   21   51 Sc   8596.796    0.392
  29   22   51 Ti   8708.988    0.010
  28   23   51 V    8742.099    0.008
  27   24   51 Cr   8712.005    0.008
  26   25   51 Mn   8633.772    0.010
  25   26   51 Fe   8460.759    0.176
  24   27   51 Co   8193.254    0.950
  23   28   51 Ni   7875       1000      10       1000   
  34   18   52 Ar   7825       1000      12       1000   
  33   19   52 K    8115.029    0.645
  32   20   52 Ca   8429.381    0.013
  31   21   52 Sc   8533.125    1.574
  30   22   52 Ti   8691.667    0.136
  29   23   52 V    8714.582    0.008
  28   24   52 Cr   8775.989    0.007
  27   25   52 Mn   8670.329    0.035
  26   26   52 Fe   8609.574    0.098
  25   27   52 Co   8325.886    0.161
  24   28   52 Ni   8079       1000       8       1000   
  23   29   52 Cu   7679       1000      12       1000   
  35   18   53 Ar   7677       1000      13       1000   
  34   19   53 K    8022.848    2.109
  33   20   53 Ca   8330.577    0.826
  32   21   53 Sc   8495.421    1.775
  31   22   53 Ti   8630.174    1.888
  30   23   53 V    8710.130    0.059
  29   24   53 Cr   8760.198    0.007
  28   25   53 Mn   8734.175    0.009
  27   26   53 Fe   8648.799    0.031
  26   27   53 Co   8477.658    0.032
  25   28   53 Ni   8217.074    0.475
  24   29   53 Cu   7894       1000       9       1000   
  35   19   54 K    7889       1000      11       1000   
  34   20   54 Ca   8247.496    0.897
  33   21   54 Sc   8394.681    5.052
  32   22   54 Ti   8597.435    1.527
  31   23   54 V    8662.043    0.278
  30   24   54 Cr   8777.955    0.007
  29   25   54 Mn   8737.965    0.020
  28   26   54 Fe   8736.382    0.007
  27   27   54 Co   8569.217    0.007
  26   28   54 Ni   8393.032    0.086
  25   29   54 Cu   8048       1000       7       1000   
  24   30   54 Zn   7753       1000       7       1000   
  36   19   55 K    7788       1000      13       1000   
  35   20   55 Ca   8120       1000       5       1000   
  34   21   55 Sc   8320.955    8.261
  33   22   55 Ti   8515.980    2.938
  32   23   55 V    8637.692    1.729
  31   24   55 Cr   8731.924    0.007
  30   25   55 Mn   8765.022    0.006
  29   26   55 Fe   8746.595    0.006
  28   27   55 Co   8669.618    0.008
  27   28   55 Ni   8497.320    0.013
  26   29   55 Cu   8233.996    2.828
  25   30   55 Zn   7909       1000       7       1000   
  37   19   56 K    7664       1000      14       1000   
  36   20   56 Ca   8040       1000       7       1000   
  35   21   56 Sc   8221.728   10.479
  34   22   56 Ti   8466.110    2.165
